notebook,notebook_sri_score,int_op,int_op_reproduced,int_op_sri,float_op,float_op_reproduced,float_op_sri,list_op,list_op_reproduced,list_op_sri,tuple_op,tuple_op_reproduced,tuple_op_sri,set_op,set_op_reproduced,set_op_sri,str_op,str_op_reproduced,str_op_sri,dict_op,dict_op_reproduced,dict_op_sri,array_op,array_op_reproduced,array_op_sri,dataframe_op,dataframe_op_reproduced,dataframe_op_sri,other_op,other_op_reproduced,other_op_sri,image_op,image_op_reproduced,stream_op,stream_op_reproduced
886fa1b06614815ff8ccc51031366b880d45e943.ipynb,0.89218076,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,8,1
3583f9b947e5a2415d38242c3c335bbac546187d.ipynb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
91c0970d1bf8873d0429b0b72fde0331fd2039a5.ipynb,0.988992445,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,1,0,0,0,0,0,0,0,0,0,0
eeba2fc1fafeb86cdcde543fa9056344653f0e44.ipynb,0.973210357,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
ff3c8e1663566e564bb27108247ef18511d5335c.ipynb,0.9875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1
158aaab3e9c2e0ce52534c26b862181736992aa7.ipynb,0.996969697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,6
a398cb1afe700fd6d50e7caac5f33922456b7f3e.ipynb,0.991543716,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,8,6
d8f4b5c17cfadcdaf603578d28652bc51c640582.ipynb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90dfe0e60e61db810214eb5ae74c8e28a7b7c0e8.ipynb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
fbad50130e492555a4d2c7b2fb24b0b608c3725a.ipynb,0.593260484,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
aaae9de8625920775a2e01da928777da9718e38a.ipynb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6
a1bb0d0dc8a44473fb8e9a3d78c8f79a3bf95a0d.ipynb,0.665158128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
3d1c159205682dd07f59d286f99fde31b092428e.ipynb,0.970134028,3,3,0,0,0,0,0,0,0,2,2,0,0,0,0,2,2,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,21,19
f5b1b0f2d201bde06e7993ae60c2879b247c8bd5.ipynb,0.732390277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0
10cfaf3859a6e18940b7907b5c329f81c499c6f8.ipynb,0.487817402,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,8,10,6,1,1,0,0,0
c1af618b98abf0e6dbfd9df4fd56613d7ffdbd66.ipynb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,10,10
7f2fc46184d62ad2ca2758096109192ef0f094c8.ipynb,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
695943f3768cd266a7859b7bf22df3096d4728d1.ipynb,0.978107189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4
a0eeb0c99892980d056b2d6076cc52aca0583001.ipynb,0.950092157,0,0,0,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,0,0,0,0,2,2,0,1,0,2,1
452f093af474f37a7313de9856f80361e947158b.ipynb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0
1f484ab5f7690a7fc05d1aeb41da6fc5963bba8d.ipynb,1,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,8
6845c9e19f189d7d0e8f2e8948b6f1ba296a20b6.ipynb,0.666666667,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c50355da7fae1391b8f2284b48eca52616f0e60c.ipynb,0.867626556,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5
ee7317bf8e5f0d0f8ef1c042d7f9b047401dc03e.ipynb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4cb940a2c28538c3dc142c30e995184d9308b297.ipynb,0.766325579,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,2,2
7bf0e93901ef428a7c937504bc1e1ea076e6ddec.ipynb,0.992287234,1,1,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,39,38
1070d3b84ffd7b285ad02efc409e41d84b933aa7.ipynb,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0d56cdeea2a4144794566a14eca1792cdf3ef383.ipynb,0.666508738,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
9a3a90c2f8b223225b303350f317ea3ca92b1658.ipynb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5
7bd18a788c6b33d3e800f7caaa35b61532f41d7d.ipynb,0.877953439,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
08477c7fc311917ed3a48a7adb7c423639396599.ipynb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
ea454058133195253b3ccb2a17756b2c437bf0a8.ipynb,0.883103614,7,3,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1cc4a28af55171b6fe8a82dc3866ef65c1ae1e69.ipynb,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
07dd3f0f75b92687bdcaf95e83d4f73966daf113.ipynb,0.888888889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,1,0,0,0,0,0,0,0
